"Employee ID","Gender","Job Level after FY20 promotions","New hire FY20?","FY20 Performance Rating","Promotion in FY21?","In base group for Promotion FY21","Target hire balance","FY20 leaver?","In base group for turnover FY20","Department @01.07.2020","Leaver FY","Job Level after FY21 promotions","Last Department in FY20","FTE group","Time type","Department & JL group PRA status","Department & JL group for PRA","Job Level group PRA status","Job Level group for PRA","Time in Job Level @01.07.2020","Job Level before FY20 promotions","Promotion in FY20?","FY19 Performance Rating","Age group","Age @01.07.2020","Nationality 1","Region group: nationality 1","Broad region group: nationality 1","Last hire date","Years since last hire","Rand"
"36","Male","3 - Senior Manager","N","1","No","Yes","0.50","No","Y","Sales & Marketing","","3 - Senior Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Sales & Marketing","Age @01.07.2020","3 - Senior Manager","3","3 - Senior Manager","N","3","30 to 39","39","Portugal","Europe","Europe","4/1/2015","5","0.0783103"
"37","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","2","20 to 29","25","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.3716911"
"38","Female","6 - Junior Officer","Y","","No","No","0.50","No","N","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","0","","N","","20 to 29","27","Italy","Europe","Europe","4/1/2020","0","0.982031"
"39","Male","5 - Senior Officer","N","3","No","Yes","0.50","No","Y","Internal Services","","5 - Senior Officer","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Internal Services","Age @01.07.2020","5 - Senior Officer","1","#REF!","Y","2","20 to 29","24","Switzerland","Switzerland","Switzerland","4/1/2015","5","0.8926341"
"40","Male","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","2","20 to 29","21","Germany","Europe","Europe","4/1/2017","3","0.7015591"
"41","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","27","France","Europe","Europe","4/1/2018","2","0.184209"
"42","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","28","Switzerland","Switzerland","Switzerland","4/1/2019","1","0.0681537"
"43","Male","3 - Senior Manager","N","2","No","Yes","0.50","No","Y","Operations","","3 - Senior Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Operations","Age @01.07.2020","3 - Senior Manager","4","3 - Senior Manager","N","2","40 to 49","40","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.6641588"
"44","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","2","20 to 29","23","Italy","Europe","Europe","4/1/2018","2","0.3998938"
"45","Male","2 - Director","N","2","No","No","0.50","Yes","Y","Internal Services","FY20","","Internal Services","Full Time","Full Time","","","","","3","2 - Director","N","3","50 to 59","54","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.0539837"
"46","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Internal Services","","6 - Junior Officer","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Internal Services","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","3","20 to 29","26","France","Europe","Europe","4/1/2017","3","0.5943196"
"47","Female","4 - Manager","N","2","No","Yes","0.50","No","Y","HR","","4 - Manager","HR","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & HR","Age @01.07.2020","4 - Manager","2","4 - Manager","N","3","30 to 39","36","Austria","Europe","Europe","4/1/2016","4","0.8120388"
"48","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","3","20 to 29","22","France","Europe","Europe","4/1/2017","3","0.9764973"
"49","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","HR","","6 - Junior Officer","HR","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & HR","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","2","30 to 39","31","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.8219892"
"50","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","22","Austria","Europe","Europe","4/1/2018","2","0.2346954"
"51","Male","5 - Senior Officer","N","2","Yes","Yes","0.50","No","Y","Operations","","4 - Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Operations","Age @01.07.2020","5 - Senior Officer","6","5 - Senior Officer","N","3","30 to 39","31","Switzerland","Switzerland","Switzerland","4/1/2012","8","0.7374656"
"52","Male","4 - Manager","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","4 - Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Sales & Marketing","Age @01.07.2020","4 - Manager","2","4 - Manager","N","3","30 to 39","32","France","Europe","Europe","4/1/2012","8","0.5706524"
"53","Male","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","2","30 to 39","30","Switzerland","Switzerland","Switzerland","4/1/2012","8","0.4891797"
"54","Male","5 - Senior Officer","N","2","Yes","Yes","0.50","No","Y","Operations","","4 - Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Operations","Age @01.07.2020","5 - Senior Officer","7","5 - Senior Officer","N","3","30 to 39","33","Switzerland","Switzerland","Switzerland","4/1/2012","8","0.8054117"
"55","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","3","20 to 29","25","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.7435638"
"56","Male","6 - Junior Officer","Y","","No","No","0.50","No","N","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","0","","N","","20 to 29","25","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.314113"
"57","Female","4 - Manager","N","","No","No","0.50","Yes","Y","Sales & Marketing","FY20","","Sales & Marketing","Full Time","Full Time","","","","","3","4 - Manager","N","3","30 to 39","38","United Kingdom","Europe","Europe","4/1/2016","4","0.5996884"
"58","Male","5 - Senior Officer","N","2","Yes","Yes","0.50","No","Y","Sales & Marketing","","4 - Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","2","5 - Senior Officer","N","3","30 to 39","35","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.4294249"
"59","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","22","Switzerland","Switzerland","Switzerland","4/1/2019","1","0.4258103"
"60","Male","6 - Junior Officer","N","2","No","No","0.50","Yes","Y","Operations","FY20","","Operations","Full Time","Full Time","","","","","3","6 - Junior Officer","N","3","30 to 39","38","France","Europe","Europe","4/1/2017","3","0.553175"
"61","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","23","France","Europe","Europe","4/1/2019","1","0.9883673"
"62","Female","5 - Senior Officer","N","3","No","No","0.50","Yes","Y","Operations","FY20","","Operations","80%","Part Time","","","","","2","5 - Senior Officer","N","3","50 to 59","56","Switzerland","Switzerland","Switzerland","4/1/2012","8","0.2955651"
"63","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","20","United States","Americas","Elsewhere","4/1/2019","1","0.0437854"
"64","Male","2 - Director","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","2 - Director","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Sales & Marketing","Uneven - Men benefit","2 - Director","3","2 - Director","N","3","30 to 39","36","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.7944166"
"65","Female","2 - Director","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","2 - Director","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Sales & Marketing","Uneven - Men benefit","2 - Director","3","2 - Director","N","3","40 to 49","45","France","Europe","Europe","4/1/2016","4","0.370719"
"66","Female","3 - Senior Manager","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","3 - Senior Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Sales & Marketing","Age @01.07.2020","3 - Senior Manager","1","#REF!","Y","2","30 to 39","39","Germany","Europe","Europe","4/1/2015","5","0.5210844"
"67","Male","2 - Director","N","2","No","Yes","0.50","No","Y","Operations","","2 - Director","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Operations","Uneven - Men benefit","2 - Director","1","#REF!","Y","1","40 to 49","46","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.8954136"
"68","Male","5 - Senior Officer","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","5","5 - Senior Officer","N","3","20 to 29","25","Switzerland","Switzerland","Switzerland","4/1/2014","6","0.2917154"
"69","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","2","20 to 29","26","United Kingdom","Europe","Europe","4/1/2018","2","0.0028127"
"70","Male","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","4","5 - Senior Officer","N","3","20 to 29","29","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.2704631"
"71","Female","4 - Manager","N","3","No","Yes","0.50","No","Y","Operations","","4 - Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Operations","Age @01.07.2020","4 - Manager","4","4 - Manager","N","3","40 to 49","40","Portugal","Europe","Europe","4/1/2011","9","0.9466633"
"72","Female","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Operations","","5 - Senior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Operations","Age @01.07.2020","5 - Senior Officer","4","5 - Senior Officer","N","3","30 to 39","34","France","Europe","Europe","4/1/2016","4","0.5155017"
"73","Male","2 - Director","Y","","No","No","0.50","No","N","Operations","","2 - Director","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Operations","Uneven - Men benefit","2 - Director","0","","N","","50 to 59","51","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.0358762"
"74","Female","5 - Senior Officer","N","","No","No","0.50","Yes","Y","Sales & Marketing","FY20","","Sales & Marketing","80%","Part Time","","","","","3","5 - Senior Officer","N","3","40 to 49","41","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.7013444"
"75","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","2","20 to 29","24","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.8103803"
"76","Female","4 - Manager","N","2","Yes","Yes","0.50","No","Y","Internal Services","","3 - Senior Manager","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Internal Services","Age @01.07.2020","4 - Manager","4","4 - Manager","N","3","40 to 49","43","Switzerland","Switzerland","Switzerland","4/1/2012","8","0.7077803"
"77","Male","3 - Senior Manager","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","3 - Senior Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Sales & Marketing","Age @01.07.2020","3 - Senior Manager","2","3 - Senior Manager","N","3","40 to 49","41","Germany","Europe","Europe","4/1/2016","4","0.7895506"
"78","Female","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","70%","Part Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","3","30 to 39","31","Switzerland","Switzerland","Switzerland","4/1/2012","8","0.2508269"
"79","Male","6 - Junior Officer","Y","","No","No","0.50","No","N","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","0","","N","","20 to 29","26","Germany","Europe","Europe","4/1/2020","0","0.240641"
"80","Female","5 - Senior Officer","N","3","No","Yes","0.50","No","Y","Operations","","5 - Senior Officer","Operations","50%","Part Time","Time in Job Level @01.07.2020","5 - Senior Officer & Operations","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","2","20 to 29","28","France","Europe","Europe","4/1/2014","6","0.7199569"
"81","Male","2 - Director","N","3","No","Yes","0.50","No","Y","Operations","","2 - Director","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Operations","Uneven - Men benefit","2 - Director","3","2 - Director","N","2","40 to 49","42","Switzerland","Switzerland","Switzerland","4/1/2013","7","0.4645154"
"82","Male","6 - Junior Officer","N","1","No","Yes","0.50","No","Y","Internal Services","","6 - Junior Officer","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Internal Services","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","25","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.1747901"
